

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",4,"Long-term average annual precipitation in depth",4151,1962,327.0,"","","1603"
"Albania",8,"Long-term average annual precipitation in depth",4151,1962,1485.0,"X","","6030"
"Algeria",12,"Long-term average annual precipitation in depth",4151,1962,89.0,"X","","6030"
"Angola",24,"Long-term average annual precipitation in depth",4151,1962,1010.0,"X","","6030"
"Antigua and Barbuda",28,"Long-term average annual precipitation in depth",4151,1962,1030.0,"X","","6030"
"Argentina",32,"Long-term average annual precipitation in depth",4151,1962,591.0,"","","6433"
"Australia",36,"Long-term average annual precipitation in depth",4151,1962,534.0,"X","[1]","6030"
"Austria",40,"Long-term average annual precipitation in depth",4151,1962,1110.0,"X","","6030"
"Bahamas",44,"Long-term average annual precipitation in depth",4151,1962,1292.0,"X","","6030"
"Bahrain",48,"Long-term average annual precipitation in depth",4151,1962,83.0,"","","1603"
"Bangladesh",50,"Long-term average annual precipitation in depth",4151,1962,2666.0,"X","","6030"
"Barbados",52,"Long-term average annual precipitation in depth",4151,1962,1422.0,"X","","6030"
"Belgium",56,"Long-term average annual precipitation in depth",4151,1962,847.0,"X","","6030"
"Belize",84,"Long-term average annual precipitation in depth",4151,1962,1705.0,"X","","6030"
"Benin",204,"Long-term average annual precipitation in depth",4151,1962,1039.0,"X","","6030"
"Bhutan",64,"Long-term average annual precipitation in depth",4151,1962,2200.0,"X","","6030"
"Bolivia (Plurinational State of)",68,"Long-term average annual precipitation in depth",4151,1962,1146.0,"","","6433"
"Botswana",72,"Long-term average annual precipitation in depth",4151,1962,416.0,"X","","6030"
"Brazil",76,"Long-term average annual precipitation in depth",4151,1962,1761.0,"","[2,3]","6433"
"Brunei Darussalam",96,"Long-term average annual precipitation in depth",4151,1962,2722.0,"X","","6030"
"Bulgaria",100,"Long-term average annual precipitation in depth",4151,1962,608.0,"X","","6030"
"Burkina Faso",854,"Long-term average annual precipitation in depth",4151,1962,748.0,"X","","6030"
"Burundi",108,"Long-term average annual precipitation in depth",4151,1962,1274.0,"X","","6030"
"Cabo Verde",132,"Long-term average annual precipitation in depth",4151,1962,228.0,"X","","6030"
"Cambodia",116,"Long-term average annual precipitation in depth",4151,1962,1904.0,"X","[4]","6030"
"Cameroon",120,"Long-term average annual precipitation in depth",4151,1962,1604.0,"X","","6030"
"Canada",124,"Long-term average annual precipitation in depth",4151,1962,537.0,"X","","6030"
"Central African Republic",140,"Long-term average annual precipitation in depth",4151,1962,1343.0,"X","","6030"
"Chad",148,"Long-term average annual precipitation in depth",4151,1962,322.0,"X","","6030"
"Chile",152,"Long-term average annual precipitation in depth",4151,1962,1522.0,"","","6433"
"China",156,"Long-term average annual precipitation in depth",4151,1962,645.0,"X","[5]","6030"
"Colombia",170,"Long-term average annual precipitation in depth",4151,1962,3240.0,"","[6]","6433"
"Comoros",174,"Long-term average annual precipitation in depth",4151,1962,900.0,"X","","6030"
"Congo",178,"Long-term average annual precipitation in depth",4151,1962,1646.0,"X","","6030"
"Costa Rica",188,"Long-term average annual precipitation in depth",4151,1962,2926.0,"X","[7]","6030"
"Côte d'Ivoire",384,"Long-term average annual precipitation in depth",4151,1962,1348.0,"X","","6030"
"Cuba",192,"Long-term average annual precipitation in depth",4151,1962,1335.0,"X","","6030"
"Cyprus",196,"Long-term average annual precipitation in depth",4151,1962,498.0,"","","1592"
"Democratic People's Republic of Korea",408,"Long-term average annual precipitation in depth",4151,1962,1054.0,"X","","6030"
"Democratic Republic of the Congo",180,"Long-term average annual precipitation in depth",4151,1962,1543.0,"X","","6030"
"Denmark",208,"Long-term average annual precipitation in depth",4151,1962,703.0,"X","","6030"
"Djibouti",262,"Long-term average annual precipitation in depth",4151,1962,220.0,"X","","6030"
"Dominica",212,"Long-term average annual precipitation in depth",4151,1962,2083.0,"X","","6030"
"Dominican Republic",214,"Long-term average annual precipitation in depth",4151,1962,1410.0,"X","","6030"
"Ecuador",218,"Long-term average annual precipitation in depth",4151,1962,2274.0,"","","6433"
"Egypt",818,"Long-term average annual precipitation in depth",4151,1962,18.1,"","","6783"
"El Salvador",222,"Long-term average annual precipitation in depth",4151,1962,1784.0,"","[8]","6433"
"Equatorial Guinea",226,"Long-term average annual precipitation in depth",4151,1962,2156.0,"X","","6030"
"Eswatini",748,"Long-term average annual precipitation in depth",4151,1962,788.0,"X","","6030"
"Fiji",242,"Long-term average annual precipitation in depth",4151,1962,2592.0,"","","1597"
"Finland",246,"Long-term average annual precipitation in depth",4151,1962,536.0,"X","","6030"
"France",250,"Long-term average annual precipitation in depth",4151,1962,867.0,"","","1593"
"Gabon",266,"Long-term average annual precipitation in depth",4151,1962,1831.0,"X","","6030"
"Gambia",270,"Long-term average annual precipitation in depth",4151,1962,836.0,"X","","6030"
"Germany",276,"Long-term average annual precipitation in depth",4151,1962,700.0,"X","","6030"
"Ghana",288,"Long-term average annual precipitation in depth",4151,1962,1187.0,"X","","6030"
"Greece",300,"Long-term average annual precipitation in depth",4151,1962,652.0,"","[9]","1596"
"Grenade",308,"Long-term average annual precipitation in depth",4151,1962,2350.0,"X","","6030"
"Guatemala",320,"Long-term average annual precipitation in depth",4151,1962,1996.0,"X","","6030"
"Guinea",324,"Long-term average annual precipitation in depth",4151,1962,1651.0,"X","","6030"
"Guinea-Bissau",624,"Long-term average annual precipitation in depth",4151,1962,1577.0,"X","","6030"
"Guyana",328,"Long-term average annual precipitation in depth",4151,1962,2387.0,"","[10]","6433"
