Domain,Area,Element,Item,Year,Value
"Forest Land","Africa","Area","Forest land","1990","742801.2769"
"Forest Land","Africa","Area","Forest land","1991","739526.034"
"Forest Land","Africa","Area","Forest land","1992","736250.7911"
"Forest Land","Africa","Area","Forest land","1993","732975.5482"
"Forest Land","Africa","Area","Forest land","1994","729700.3053"
"Forest Land","Africa","Area","Forest land","1995","726425.0625"
"Forest Land","Africa","Area","Forest land","1996","723149.8196"
"Forest Land","Africa","Area","Forest land","1997","719874.5767"
"Forest Land","Africa","Area","Forest land","1998","716599.3338"
"Forest Land","Africa","Area","Forest land","1999","713324.0909"
"Forest Land","Africa","Area","Forest land","2000","710048.848"
"Forest Land","Africa","Area","Forest land","2001","706645.5002"
"Forest Land","Africa","Area","Forest land","2002","703242.1524"
"Forest Land","Africa","Area","Forest land","2003","699838.8046"
"Forest Land","Africa","Area","Forest land","2004","696435.4568"
"Forest Land","Africa","Area","Forest land","2005","693032.109"
"Forest Land","Africa","Area","Forest land","2006","689628.7612"
"Forest Land","Africa","Area","Forest land","2007","686225.4134"
"Forest Land","Africa","Area","Forest land","2008","682822.0656"
"Forest Land","Africa","Area","Forest land","2009","679418.7178"
"Forest Land","Africa","Area","Forest land","2010","676015.37"
"Forest Land","Africa","Area","Forest land","2011","672108.76"
"Forest Land","Africa","Area","Forest land","2012","668202.15"
"Forest Land","Africa","Area","Forest land","2013","664295.54"
"Forest Land","Africa","Area","Forest land","2014","660388.93"
"Forest Land","Africa","Area","Forest land","2015","656482.32"
"Forest Land","Africa","Area","Forest land","2016","652513.65"
"Forest Land","Africa","Area","Forest land","2017","648544.98"
"Forest Land","Africa","Area","Forest land","2018","644576.31"
"Forest Land","Africa","Area","Forest land","2019","640607.64"
"Forest Land","Africa","Area","Forest land","2020","636638.97"
"Forest Land","Americas","Area","Forest land","1990","1728945.5"
"Forest Land","Americas","Area","Forest land","1991","1723550.336"
"Forest Land","Americas","Area","Forest land","1992","1718155.172"
"Forest Land","Americas","Area","Forest land","1993","1712760.008"
"Forest Land","Americas","Area","Forest land","1994","1707364.844"
"Forest Land","Americas","Area","Forest land","1995","1701969.68"
"Forest Land","Americas","Area","Forest land","1996","1696574.516"
"Forest Land","Americas","Area","Forest land","1997","1691179.352"
"Forest Land","Americas","Area","Forest land","1998","1685784.188"
"Forest Land","Americas","Area","Forest land","1999","1680389.024"
"Forest Land","Americas","Area","Forest land","2000","1674993.86"
"Forest Land","Americas","Area","Forest land","2001","1669928.882"
"Forest Land","Americas","Area","Forest land","2002","1664863.904"
"Forest Land","Americas","Area","Forest land","2003","1659798.926"
"Forest Land","Americas","Area","Forest land","2004","1654733.948"
"Forest Land","Americas","Area","Forest land","2005","1649668.97"
"Forest Land","Americas","Area","Forest land","2006","1644603.992"
"Forest Land","Americas","Area","Forest land","2007","1639539.014"
"Forest Land","Americas","Area","Forest land","2008","1634474.036"
"Forest Land","Americas","Area","Forest land","2009","1629409.058"
"Forest Land","Americas","Area","Forest land","2010","1624344.08"
"Forest Land","Americas","Area","Forest land","2011","1621686.27"
"Forest Land","Americas","Area","Forest land","2012","1619024.87"
"Forest Land","Americas","Area","Forest land","2013","1616363.47"
"Forest Land","Americas","Area","Forest land","2014","1613702.07"
"Forest Land","Americas","Area","Forest land","2015","1611040.67"
"Forest Land","Americas","Area","Forest land","2016","1608212.378"
"Forest Land","Americas","Area","Forest land","2017","1605384.086"
"Forest Land","Americas","Area","Forest land","2018","1602555.794"
"Forest Land","Americas","Area","Forest land","2019","1599727.502"
"Forest Land","Americas","Area","Forest land","2020","1596899.21"
"Forest Land","Asia","Area","Forest land","1990","569978.1969"
"Forest Land","Asia","Area","Forest land","1991","570129.6984"
"Forest Land","Asia","Area","Forest land","1992","585796.3953"
"Forest Land","Asia","Area","Forest land","1993","585998.0907"
"Forest Land","Asia","Area","Forest land","1994","586199.786"
"Forest Land","Asia","Area","Forest land","1995","586401.4814"
"Forest Land","Asia","Area","Forest land","1996","586603.1768"
"Forest Land","Asia","Area","Forest land","1997","586804.8722"
"Forest Land","Asia","Area","Forest land","1998","587006.5676"
"Forest Land","Asia","Area","Forest land","1999","587208.263"
"Forest Land","Asia","Area","Forest land","2000","587409.9584"
"Forest Land","Asia","Area","Forest land","2001","589764.9532"
"Forest Land","Asia","Area","Forest land","2002","592119.948"
"Forest Land","Asia","Area","Forest land","2003","594474.9428"
"Forest Land","Asia","Area","Forest land","2004","596829.9376"
"Forest Land","Asia","Area","Forest land","2005","599184.9324"
"Forest Land","Asia","Area","Forest land","2006","601539.9273"
"Forest Land","Asia","Area","Forest land","2007","603894.9221"
"Forest Land","Asia","Area","Forest land","2008","606249.9169"
"Forest Land","Asia","Area","Forest land","2009","608604.9117"
"Forest Land","Asia","Area","Forest land","2010","610959.9065"
"Forest Land","Asia","Area","Forest land","2011","611989.2321"
"Forest Land","Asia","Area","Forest land","2012","613018.5577"
"Forest Land","Asia","Area","Forest land","2013","614047.8833"
"Forest Land","Asia","Area","Forest land","2014","615077.209"
"Forest Land","Asia","Area","Forest land","2015","616106.5346"
"Forest Land","Asia","Area","Forest land","2016","617422.5896"
"Forest Land","Asia","Area","Forest land","2017","618738.6447"
"Forest Land","Asia","Area","Forest land","2018","620054.6998"
"Forest Land","Asia","Area","Forest land","2019","621370.7549"
"Forest Land","Asia","Area","Forest land","2020","622686.81"
"Forest Land","Europe","Area","Forest land","1990","1009733.7386"
"Forest Land","Europe","Area","Forest land","1991","1010578.8403"
"Forest Land","Europe","Area","Forest land","1992","995908.7467"
"Forest Land","Europe","Area","Forest land","1993","996703.6546"
"Forest Land","Europe","Area","Forest land","1994","997498.5624"
"Forest Land","Europe","Area","Forest land","1995","998293.4703"
"Forest Land","Europe","Area","Forest land","1996","999088.3782"
"Forest Land","Europe","Area","Forest land","1997","999883.286"
"Forest Land","Europe","Area","Forest land","1998","1000678.1939"
"Forest Land","Europe","Area","Forest land","1999","1001473.1017"
"Forest Land","Europe","Area","Forest land","2000","1002268.0096"
"Forest Land","Europe","Area","Forest land","2001","1003439.4049"
"Forest Land","Europe","Area","Forest land","2002","1004610.8001"
"Forest Land","Europe","Area","Forest land","2003","1005782.1954"
"Forest Land","Europe","Area","Forest land","2004","1006953.5906"
"Forest Land","Europe","Area","Forest land","2005","1008124.9859"
"Forest Land","Europe","Area","Forest land","2006","1009296.3812"
"Forest Land","Europe","Area","Forest land","2007","1010467.7764"
"Forest Land","Europe","Area","Forest land","2008","1011639.1717"
"Forest Land","Europe","Area","Forest land","2009","1012810.5669"
"Forest Land","Europe","Area","Forest land","2010","1013981.9622"
"Forest Land","Europe","Area","Forest land","2011","1014346.7779"
"Forest Land","Europe","Area","Forest land","2012","1014711.5935"
"Forest Land","Europe","Area","Forest land","2013","1015076.4092"
"Forest Land","Europe","Area","Forest land","2014","1015441.2248"
"Forest Land","Europe","Area","Forest land","2015","1015806.0405"
"Forest Land","Europe","Area","Forest land","2016","1016136.9924"
"Forest Land","Europe","Area","Forest land","2017","1016467.9443"
"Forest Land","Europe","Area","Forest land","2018","1016798.8962"
"Forest Land","Europe","Area","Forest land","2019","1017129.8481"
"Forest Land","Europe","Area","Forest land","2020","1017460.8"
"Forest Land","Oceania","Area","Forest land","1990","184974.31"
"Forest Land","Oceania","Area","Forest land","1991","184809.7236"
"Forest Land","Oceania","Area","Forest land","1992","184645.1373"
"Forest Land","Oceania","Area","Forest land","1993","184480.5509"
"Forest Land","Oceania","Area","Forest land","1994","184315.9645"
"Forest Land","Oceania","Area","Forest land","1995","184151.3781"
"Forest Land","Oceania","Area","Forest land","1996","183986.7918"
"Forest Land","Oceania","Area","Forest land","1997","183822.2054"
"Forest Land","Oceania","Area","Forest land","1998","183657.619"
"Forest Land","Oceania","Area","Forest land","1999","183493.0326"
"Forest Land","Oceania","Area","Forest land","2000","183328.4463"
"Forest Land","Oceania","Area","Forest land","2001","183097.1052"
"Forest Land","Oceania","Area","Forest land","2002","182865.7641"
"Forest Land","Oceania","Area","Forest land","2003","182634.423"
"Forest Land","Oceania","Area","Forest land","2004","182403.0819"
"Forest Land","Oceania","Area","Forest land","2005","182171.7408"
"Forest Land","Oceania","Area","Forest land","2006","181940.3997"
"Forest Land","Oceania","Area","Forest land","2007","181709.0586"
"Forest Land","Oceania","Area","Forest land","2008","181477.7175"
"Forest Land","Oceania","Area","Forest land","2009","181246.3764"
"Forest Land","Oceania","Area","Forest land","2010","181015.0353"
"Forest Land","Oceania","Area","Forest land","2011","181699.0104"
"Forest Land","Oceania","Area","Forest land","2012","182382.9855"
"Forest Land","Oceania","Area","Forest land","2013","183066.9606"
"Forest Land","Oceania","Area","Forest land","2014","183750.9358"
"Forest Land","Oceania","Area","Forest land","2015","184434.9109"
"Forest Land","Oceania","Area","Forest land","2016","184597.5327"
"Forest Land","Oceania","Area","Forest land","2017","184760.1545"
"Forest Land","Oceania","Area","Forest land","2018","184922.7764"
"Forest Land","Oceania","Area","Forest land","2019","185085.3982"
"Forest Land","Oceania","Area","Forest land","2020","185248.02"
