country,1990,2000,2010,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,,,,,
Albania (Desk study),,,,,,,,,
Algeria,13.66,13.7,13.81,13.87,13.82,13.81,13.71,13.8,13.81
American Samoa,51.5,58.81,64.79,67.64,68.31,68.97,69.65,70.2,70.87
Andorra,72.38,72.38,72.38,72.38,72.38,72.38,72.38,72.38,72.38
Angola,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
Anguilla (Desk study),98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7
Antigua and Barbuda (Desk study),98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7
Argentina,82.65,84.58,86.96,88.01,88.12,88.25,88.39,88.52,88.65
Armenia,38.9,38.29,37.7,38.01,,,,,
Aruba (Desk study),,,,,,,,,
Australia,,42.78,43.18,42.28,41.98,41.99,41.99,41.99,41.99
Austria,70.37,76.89,80.22,82.03,82.39,82.76,83.12,83.48,83.84
Azerbaijan,,,,,,,,,
Bahamas,18.71,18.71,18.71,18.71,18.71,18.71,18.71,18.71,18.71
Bahrain (Desk study),,,,,,,,,
Bangladesh,31.44,31.44,31.44,31.44,31.44,31.44,31.44,31.44,31.44
Barbados,,,,,,,,,
Belarus,43.7,57.3,67.9,73.4,74.4,75.4,76.8,77,77.1
Belgium,59.46,74.24,82.26,86.4,,,,,
Belize,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2
Benin,48.68,48.68,48.68,48.68,48.68,48.68,48.68,48.68,48.68
Bermuda (Desk study),,,,,,,,,
Bhutan,127.05,127.05,127.05,127.05,127.05,127.05,127.05,127.05,127.05
Bolivia (Plurinational State of),61.69,61.69,61.69,61.69,61.69,61.69,61.69,61.69,61.69
"Bonaire, Sint Eustatius and Saba (Desk study)",,,,,,,,,
Bosnia and Herzegovina (Desk study),,,,73.49,73.49,,,,
Botswana,72.97,72.97,72.97,72.97,72.97,72.97,72.97,72.97,72.97
Brazil,80.54,81.95,83.62,84.33,84.41,84.49,84.57,84.64,84.71
British Virgin Islands (Desk study),98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7
Brunei Darussalam,116.09,116.09,116.09,116.09,116.09,116.09,116.09,116.09,116.09
Bulgaria,50.98,65.75,74.09,76.06,77.67,79.49,81.25,83.04,84.83
Burkina Faso,30,28,25,25,24,23,23,23,22
Burundi,53.57,53.59,53.59,56.11,56.11,56.11,56.11,56.11,56.11
Cabo Verde,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7
Cambodia,32.57,32.57,32.57,32.57,32.57,32.57,32.57,32.57,32.57
Cameroon,124.57,124.57,124.57,124.57,124.57,124.57,124.57,124.57,124.57
Canada,47.54,47.32,45.58,45.25,45.22,45.22,45.22,45.22,45.22
Cayman Islands (Desk study),,,,,,,,,
Central African Republic,102.03,102.03,102.03,102.03,102.03,102.03,102.03,102.03,102.03
Chad,42.97,42.96,42.93,42.91,42.9,42.9,42.9,42.89,42.88
Chile,112.44,110.93,109.87,109.71,109.74,109.71,109.69,109.66,109.64
China,25.31,26.73,27.31,29.77,30.27,30.64,31.01,31.36,31.72
Colombia,92.06,92.06,92.06,92.06,92.06,92.06,92.06,92.06,92.06
Comoros,31.02,31.02,31.02,31.02,31.02,31.02,31.02,31.02,31.02
Congo,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4
Cook Islands,,,,,,,,,
Costa Rica,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8
Côte d'Ivoire,44.39,44.39,44.39,44.39,44.39,44.39,44.39,44.39,44.39
Croatia,80.13,79.69,79.24,80.15,80.76,80.94,81.19,81.49,81.79
Cuba,53.16,54.67,53.13,53.31,53.35,53.39,53.39,53.39,53.39
Curaçao (Desk study),35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6
Cyprus,12.96,13.03,16.19,18.16,18.47,18.77,19.09,19.39,19.71
Czechia,60.64,68.21,73.41,74.59,74.92,75.25,75.9,76.31,76.72
Democratic People's Republic of Korea (Desk study),28.74,28.83,29.29,29.29,29.28,29.28,29.28,29.28,29.28
Democratic Republic of the Congo,108.6,108.6,108.6,108.6,108.6,108.6,108.6,108.6,108.6
Denmark,47.35,47.22,50.22,52.71,52.82,52.91,52.91,52.91,52.91
Djibouti,42.11,42.11,42.11,42.11,42.11,42.04,41.81,41.37,40.66
Dominica,,,,,,,,,
Dominican Republic,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3
Ecuador,88.51,88.51,88.51,88.51,88.51,88.51,88.51,88.51,88.51
Egypt,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4
El Salvador,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64,53.64
Equatorial Guinea,100.82,100.82,100.82,100.82,100.82,100.82,100.82,100.82,100.82
Eritrea,33.67,33.8,33.9,34.02,34.03,34.05,34.04,34.06,34.08
Estonia,47.91,50.98,52.47,54.59,54.67,54.46,54.46,54.46,54.46
Eswatini,36.72,36.38,36.05,35.9,35.86,35.83,35.8,35.77,35.74
Ethiopia,58.35,58.33,57.74,57.39,57.31,57.24,57.17,57.09,57.01
Falkland Islands (Malvinas) (Desk study),0,0,0,0,0,0,0,0,0
Faroe Islands,,,,,,,,,
Fiji,96.78,96.22,95.74,95.52,95.48,95.43,95.39,95.35,95.31
Finland,21.93,24.57,26.82,29.88,29.88,29.88,29.88,29.88,29.88
France,52,53.3,58.9,61.6,62.2,62.7,63.3,63.8,64.3
French Guyana,171.57,171.57,171.57,171.57,171.57,171.57,171.57,171.57,171.57
French Polynesia (Desk study),70.27,70,69.99,69.99,69.99,69.99,69.99,69.99,69.99
Gabon,104.93,104.93,104.93,104.93,104.93,104.93,104.93,104.93,104.93
Gambia,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9
Georgia,45.37,58.25,59.67,59.67,59.67,59.67,59.67,59.67,59.67
Germany,66.21,79.09,84.51,88.5,89.32,90.13,90.94,91.76,92.57
Ghana,49.83,53.38,46.3,42.45,43.86,45.26,45.31,45.37,45.42
Gibraltar (Desk study),0,0,0,0,0,0,0,0,0
Greece,16.05,16.03,16.09,16.09,16.09,16.09,16.09,16.09,16.09
Greenland,,,,,,,,,
Grenada,51.42,51.42,51.42,51.42,51.42,51.42,51.42,51.42,51.42
Guadeloupe,165,165,165,165,165,165,165,165,165
Guam,59.17,59.17,59.17,56.8,,,,,
Guatemala,62,62,62,62,62,62,62,62,62
Guernsey (Desk study),,,,,,,,,
Guinea,61.72,61.7,61.68,61.67,61.67,61.67,61.66,61.66,61.66
Guinea-Bissau (Desk study),40,40,40,40,40,40,40,40,40
Guyana,234.51,234.51,234.51,234.51,234.51,234.51,234.51,234.51,234.51
Haiti,44.85,44.7,44.55,44.46,44.45,44.44,44.44,44.43,44.43
Holy See (Desk study),0,0,0,0,0,0,0,0,0
Honduras,52.86,52.86,52.86,52.86,52.86,52.86,52.86,52.86,52.86
Hungary,45.89,48.08,48.77,50.72,51.23,51.75,52.08,52.49,52.91
Iceland,9.81,7.09,7.82,9.93,10.36,10.73,11.11,11.47,11.83
India,26.4,32.1,31.1,31.6,31.6,31.6,31.6,31.6,31.6
Indonesia,76.01,83.82,84.13,84.11,84.08,84.11,84.11,84.11,84.11
Iran (Islamic Republic of),61.44,64.47,65.07,65.07,65.01,64.95,64.85,64.76,64.7
Iraq,24.92,24.85,24.77,24.66,24.54,24.42,24.29,24.16,24.02
Ireland,43.64,44.59,49.11,51.95,52.78,52.95,53.73,54.87,55.82
Isle of Man (Desk study),,,,,,,,,
Israel,3.57,3.43,3.53,3.61,,,,,
Italy,42.3,47.6,52.7,55.3,55.3,55.3,55.3,55.3,55.3
Jamaica,74.46,73.77,79.36,76.82,76.35,75.86,75.4,74.94,74.5
Japan,37,44,52,55,56,56,,,
Jersey (Desk study),,,,,,,,,
Jordan,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74
Kazakhstan,36.49,37.1,39.04,39.52,39.17,38.83,39.43,39.09,38.76
Kenya,94.18,94.18,94.18,94.18,94.18,94.18,94.18,94.18,94.18
Kiribati (Desk study),,,,,,,,,
Kuwait (Desk study),,,,,,,,,
Kyrgyzstan,20.2,21.11,21.63,21.85,22.21,22.51,22.76,23.05,23.34
Lao People's Democratic Republic,57.11,57.11,57.11,57.11,57.11,57.11,57.11,57.11,57.11
Latvia,45.25,53.85,61.67,62.86,63.12,63.35,63.59,63.83,64.06
Lebanon,28.64,28.74,28.8,28.79,28.79,28.8,28.8,28.8,28.8
Lesotho,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65,34.65
Liberia,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54
Libya (Desk study),23.18,23.18,23.18,23.18,23.18,23.18,23.18,23.18,23.18
Liechtenstein,135.72,123.94,113.94,113.94,113.94,113.94,113.94,113.94,113.94
Lithuania,56,58.7,59.4,64.4,65,65.3,65.7,66.2,66.6
Luxembourg,52.43,66.44,78.24,81.35,81.24,82.11,82.97,83.83,84.93
Madagascar,76.71,76.71,76.71,76.71,76.71,76.71,76.71,76.71,76.71
Malawi,37,37,37,37,37,37,37,37,37
Malaysia,100.48,96.41,92.26,98.65,98.63,98.63,98.64,98.64,98.64
Maldives,63.45,63.45,63.45,63.45,63.45,63.45,63.45,63.45,63.45
Mali,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79
Malta,,,,,0,0,0,,
Marshall Islands,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1
Martinique,145,145,145,145,145,145,145,145,145
Mauritania,18.24,18.76,19.44,19.86,24.68,24.74,24.82,24.89,24.96
Mauritius,57.91,57.89,58.38,58.37,58.37,58.37,58.37,58.37,58.37
Mayotte,,,,,,,,,
Mexico,22.05,22.05,24.72,24.72,24.72,24.72,24.72,24.72,24.72
Micronesia (Federated States of),250.24,250.23,250.12,250.04,,,,,
Monaco (Desk study),0,0,0,0,0,0,0,0,0
Mongolia,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1
Montenegro,,,48.43,48.43,48.43,48.43,48.43,48.43,48.43
Montserrat (Desk study),,,,,,,,,
Morocco,16.76,18.53,19.61,19.82,19.83,19.86,19.89,19.92,19.95
Mozambique,47.64,47.64,47.64,47.64,47.64,47.64,47.64,47.64,47.64
Myanmar,59.86,59.87,59.34,59.11,59.08,59.05,59.03,59.02,59.01
Namibia,31.68,31.68,31.68,31.68,31.68,31.68,31.68,31.68,31.68
Nauru (Desk study),0,0,0,0,0,0,0,0,0
Nepal,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95
Netherlands,17.1,20,24.1,26.32,26.57,26.82,27.06,27.31,27.56
New Caledonia (Desk study),68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7
New Zealand,139.85,139.19,144.66,146.7,147.07,147.25,147.51,147.62,147.33
Nicaragua,42.78,42.78,42.78,42.78,42.78,42.78,42.78,42.78,42.78
Niger,18.91,18.58,18.3,18.14,18.1,18.07,18.03,17.99,17.95
