"regions","iso3","name","year","boreal","temperate","tropical","subtropical","1d_expansion","1d_afforestation","1d_nat_exp","1d_deforestation","1e_reforestation"
"North and Central America","ABW","Aruba","1990-2000",0,0,100,0,"0.00",,,"0.00",
"North and Central America","ABW","Aruba","2000-2010",0,0,100,0,"0.00",,,"0.00",
"North and Central America","ABW","Aruba","2010-2015",0,0,100,0,"0.00",,,"0.00",
"North and Central America","ABW","Aruba","2015-2020",0,0,100,0,"0.00",,,"0.00",
"Asia","AFG","Afghanistan","1990-2000",0,3,0,97,,,,,
"Asia","AFG","Afghanistan","2000-2010",0,3,0,97,,"0.07",,,"0.55"
"Asia","AFG","Afghanistan","2010-2015",0,3,0,97,,"0.07",,,"0.55"
"Asia","AFG","Afghanistan","2015-2020",0,3,0,97,,"0.07",,,"0.55"
"Africa","AGO","Angola","1990-2000",0,0,100,0,,,,,"0.00"
"Africa","AGO","Angola","2000-2010",0,0,100,0,,,,,"0.00"
"Africa","AGO","Angola","2010-2015",0,0,100,0,,,,,"0.00"
"Africa","AGO","Angola","2015-2020",0,0,100,0,,,,,"0.00"
"North and Central America","AIA","Anguilla","1990-2000",0,0,100,0,,,,,
"North and Central America","AIA","Anguilla","2000-2010",0,0,100,0,,,,,
"North and Central America","AIA","Anguilla","2010-2015",0,0,100,0,,,,,
"North and Central America","AIA","Anguilla","2015-2020",0,0,100,0,,,,,
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe","ALB","Albania","1990-2000",0,40,0,60,"12.00","0.80","0.40",,
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe","ALB","Albania","2000-2010",0,40,0,60,"15.60","0.80","14.80",,
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe","ALB","Albania","2010-2015",0,40,0,60,,,,,
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe","ALB","Albania","2015-2020",0,40,0,60,,,,,
"FOREST EUROPE, UNECE, Europe","AND","Andorra","1990-2000",0,100,0,0,,,,,
"FOREST EUROPE, UNECE, Europe","AND","Andorra","2000-2010",0,100,0,0,,,,,"0.01"
"FOREST EUROPE, UNECE, Europe","AND","Andorra","2010-2015",0,100,0,0,,,,,
"FOREST EUROPE, UNECE, Europe","AND","Andorra","2015-2020",0,100,0,0,"0.00",,,,
